STATION,LATITUDE,LONGITUDE,ALTIUDE,NAME
58569,29.20 ,121.95 ,128.0 ,石浦
58570,29.95 ,122.30 ,84.5 ,普陀
58600,28.87 ,115.37 ,79.5 ,靖安
58601,28.70 ,115.38 ,53.3 ,奉新
58602,28.85 ,115.55 ,38.9 ,安义
58605,28.42 ,115.38 ,45.7 ,高安
58606,28.60 ,115.92 ,45.7 ,南昌
58607,28.55 ,115.95 ,28.7 ,南昌县
58608,28.07 ,115.55 ,30.4 ,樟树
58609,28.22 ,115.82 ,26.9 ,丰城
58611,28.88 ,116.42 ,25.5 ,康山
58612,28.70 ,116.68 ,22.0 ,余干
58614,28.38 ,116.27 ,31.1 ,进贤
58615,28.68 ,117.08 ,55.5 ,万年
58616,28.20 ,116.82 ,41.0 ,余江
58617,28.00 ,116.37 ,47.3 ,抚州
58618,28.23 ,116.60 ,51.3 ,东乡
58620,28.97 ,117.13 ,35.0 ,乐平
58622,28.95 ,117.58 ,77.1 ,德兴
58623,28.47 ,117.92 ,84.9 ,上饶县
58624,28.40 ,117.43 ,59.5 ,弋阳
58625,28.42 ,117.60 ,79.2 ,横峰
58626,28.30 ,117.22 ,51.7 ,贵溪
58627,28.25 ,117.03 ,54.6 ,鹰潭镇
58629,28.32 ,117.70 ,57.5 ,铅山
58631,28.90 ,118.50 ,134.3 ,常山
58632,28.75 ,118.63 ,95.8 ,江山
58633,28.97 ,118.87 ,67.1 ,衢州
58634,28.68 ,118.25 ,113.7 ,玉山
58635,28.43 ,118.20 ,96.1 ,广丰
58637,28.45 ,117.98 ,114.9 ,上饶
58642,28.88 ,119.80 ,103.8 ,武义
58643,28.90 ,120.03 ,90.2 ,永康
58644,28.60 ,119.28 ,238.6 ,遂昌
58646,28.45 ,119.92 ,61.8 ,丽水
58647,28.08 ,119.13 ,199.6 ,龙泉
58652,28.85 ,120.72 ,52.0 ,仙居
58653,28.82 ,120.92 ,1383.6 ,括苍山
58654,28.67 ,120.08 ,179.1 ,缙云
58656,28.12 ,120.97 ,6.9 ,乐清
58657,28.15 ,120.28 ,59.3 ,青田
58658,28.15 ,120.68 ,34.6 ,永嘉
58659,28.00 ,120.67 ,7.1 ,温州
58660,28.85 ,121.13 ,8.9 ,临海
58664,28.37 ,121.37 ,6.5 ,温岭
58665,28.62 ,121.42 ,2.2 ,洪家
58666,28.45 ,121.90 ,84.4 ,大陈岛
58667,28.08 ,121.27 ,92.9 ,玉环
58693,28.70 ,115.83 ,37.9 ,新建
58701,27.77 ,115.40 ,44.5 ,新干
58704,27.57 ,115.17 ,49.5 ,峡江
58705,27.33 ,115.42 ,87.7 ,永丰
58706,27.43 ,115.83 ,184.8 ,乐安
58707,27.22 ,115.13 ,115.1 ,吉水
58710,27.77 ,116.05 ,75.6 ,崇仁
58712,27.30 ,116.93 ,130.6 ,黎川
58712,27.92 ,116.78 ,128.8 ,金溪
58713,27.72 ,117.07 ,220.6 ,资溪
58714,27.55 ,116.22 ,88.3 ,宜黄
58715,27.58 ,116.65 ,81.9 ,南城
58718,27.22 ,116.53 ,106.5 ,南丰
